# Escherichia_coli
CDOECKAM_00001	K00633
CDOECKAM_00002	K02532
CDOECKAM_00003	K01190
CDOECKAM_00006	K01070
CDOECKAM_00007	K00121
CDOECKAM_00010	K11936
CDOECKAM_00011	K01463
CDOECKAM_00012	K15551
CDOECKAM_00013	K10831
CDOECKAM_00014	K15554
CDOECKAM_00015	K03119
CDOECKAM_00016	K01698
CDOECKAM_00017	K12681
CDOECKAM_00019	K18988
CDOECKAM_00020	K17938
CDOECKAM_00024	K01921
CDOECKAM_00026	K01077
CDOECKAM_00028	K18968
CDOECKAM_00029	K00286
CDOECKAM_00031	K00891
CDOECKAM_00036	K03554
CDOECKAM_00037	K00847
CDOECKAM_00038	K19577
CDOECKAM_00039	K03546
CDOECKAM_00040	K03547
CDOECKAM_00041	K07657
CDOECKAM_00042	K07636
CDOECKAM_00043	K03311
CDOECKAM_00044	K11736
CDOECKAM_00045	K01187
CDOECKAM_00046	K08682
CDOECKAM_00047	K07568
CDOECKAM_00048	K00773
CDOECKAM_00053	K05517
CDOECKAM_00055	K07738
CDOECKAM_00056	K11752
CDOECKAM_00057	K00794
CDOECKAM_00058	K03625
CDOECKAM_00059	K00946
CDOECKAM_00060	K01095
CDOECKAM_00061	K19265
CDOECKAM_00062	K01662
CDOECKAM_00063	K00795
CDOECKAM_00064	K03602
CDOECKAM_00065	K03151
CDOECKAM_00067	K00077
CDOECKAM_00070	K02257
CDOECKAM_00071	K02300
CDOECKAM_00072	K02299
CDOECKAM_00073	K02298
CDOECKAM_00074	K02297
CDOECKAM_00077	K05527
CDOECKAM_00078	K03545
CDOECKAM_00079	K01358
CDOECKAM_00080	K03544
CDOECKAM_00081	K01338
CDOECKAM_00082	K03530
CDOECKAM_00083	K03770
CDOECKAM_00084	K02237
CDOECKAM_00085	K12500
CDOECKAM_00086	K06920
CDOECKAM_00087	K11925
CDOECKAM_00088	K11938
CDOECKAM_00089	K05800
CDOECKAM_00090	K18889
CDOECKAM_00091	K18890
